COUNTY,DATE,T_TRANS_UNIT,T_COVID_19,WAGE,CCI,UNEMP_RATE,F2_INT_RATE,SENT_ECON
AB,4/1/2020,0.107381397,0.598267785,2720,133.7,6.4,5.68,59.9
AB,5/1/2020,0.263851433,0.573723465,2761,134.2,6.7,5.75,67.1
AB,6/1/2020,0.202490635,0.190218475,3011,135.8,6.9,5.79,79.1
AB,7/1/2020,0.515430707,0.902003737,3003,135.8,6.5,5.78,85.2
AB,8/1/2020,0.263851433,1.15971909,2992,136.4,6.3,5.78,90.1
AB,9/1/2020,0.269987513,2.190580504,2992,136.8,6.1,5.65,92.7
AB,10/1/2020,0.441797749,9.872952467,3011,136.4,6.1,5.41,92
AB,11/1/2020,0.481682268,15.06100797,3048,140,6.2,5.27,89
AB,12/1/2020,0.365096751,7.02581142,3068,140,6.3,5.36,90.7
AB,1/1/2021,0.251579274,4.835230916,3370,135.7,5.9,5.26,93.7
AB,2/1/2021,0.297599872,5.292368864,2916,137.9,5.9,5.28,94.4
AB,3/1/2021,0.300667912,8.532219021,2902,142.2,6,5.29,94.7
AB,4/1/2021,0.239307114,6.663782709,3037,146.3,5.5,5.11,95.8
AB,5/1/2021,0.208626715,2.086267147,3080,150.1,5.3,4.73,101
AB,6/1/2021,0.217830834,0.279191633,3038,153.3,5.1,4.6,101.4
AB,7/1/2021,0.288395753,0.067496878,3106,155.6,5.3,4.58,103
AB,8/1/2021,0.288395753,0.39270911,3090,157.2,5.5,4.36,102.5
AB,9/1/2021,0.312940072,5.234076106,3024,158.3,5.3,4.21,101.3
AB,10/1/2021,0.285327713,23.4091446,3131,161.2,5.7,4.17,101.2
AB,11/1/2021,0.362028711,8.780730255,3222,167.5,5.7,4.12,100.3
AB,12/1/2021,0.322144192,1.94206927,3255,165.2,6,4.12,103.2
AB,1/1/2022,0.138061796,21.07743426,3183,164.3,6,4.1,102.3
AB,2/1/2022,0.309872032,31.55479059,3259,168.5,5.8,4.15,102
AB,3/1/2022,0.248511234,5.405886341,3514,177.6,5.6,4.16,102.6
AB,4/1/2022,0.168742196,1.426638563,3382,179.9,5.5,4.22,103.4
AB,5/1/2022,0.328280272,0.506226587,3421,181.6,5.5,4.53,102.4
AB,6/1/2022,0.435661669,0.085905118,3498,184.4,5.5,4.87,101.8
AB,7/1/2022,0.358960671,5.611445016,3462,187.1,5.5,5.27,102.1
AB,8/1/2022,0.245443194,7.645555484,3435,180.6,5.5,5.68,100.6
AB,9/1/2022,0.199422595,2.982134804,3542,180.4,5.5,6.21,101.9
AB,10/1/2022,0.205558675,0.975636695,3509,182.1,5.7,6.73,102.4
AR,4/1/2020,0.129223222,1.377568312,2504,133.7,6.4,5.68,59.9
AR,5/1/2020,0.141414092,0.321838968,2656,134.2,6.7,5.75,67.1
AR,6/1/2020,0.190177572,0.021943566,2816,135.8,6.9,5.79,79.1
AR,7/1/2020,0.2438174,0.826540987,2812,135.8,6.5,5.78,85.2
AR,8/1/2020,0.204806616,1.916404766,2766,136.4,6.3,5.78,90.1
AR,9/1/2020,0.273075488,2.11389686,2766,136.8,6.1,5.65,92.7
AR,10/1/2020,0.655868807,6.644024157,2851,136.4,6.1,5.41,92
AR,11/1/2020,0.448624017,14.29745235,2901,140,6.2,5.27,89
AR,12/1/2020,0.865551771,6.575755285,3014,140,6.3,5.36,90.7
AR,1/1/2021,0.380355144,4.266804505,3105,135.7,5.9,5.26,93.7
AR,2/1/2021,0.577847239,3.913269274,2936,137.9,5.9,5.28,94.4
AR,3/1/2021,0.629048893,7.858234811,2912,142.2,6,5.29,94.7
AR,4/1/2021,0.624172545,6.495295543,3014,146.3,5.5,5.11,95.8
AR,5/1/2021,0.399860536,0.909438903,3066,150.1,5.3,4.73,101
AR,6/1/2021,0.604667153,0.18286305,2969,153.3,5.1,4.6,101.4
AR,7/1/2021,0.614419849,0.080459742,3049,155.6,5.3,4.58,103
AR,8/1/2021,0.719261331,0.604667153,3063,157.2,5.5,4.36,102.5
AR,9/1/2021,0.731452201,6.741551118,2935,158.3,5.3,4.21,101.3
AR,10/1/2021,0.682688721,23.4649866,3025,161.2,5.7,4.17,101.2
AR,11/1/2021,0.587599935,11.80320035,3161,167.5,5.7,4.12,100.3
AR,12/1/2021,0.687565069,4.071750585,3282,165.2,6,4.12,103.2
AR,1/1/2022,0.331591664,22.35317926,3129,164.3,6,4.1,102.3
AR,2/1/2022,0.555903673,32.47647772,3185,168.5,5.8,4.15,102
AR,3/1/2022,0.729014027,6.427026671,3222,177.6,5.6,4.16,102.6
AR,4/1/2022,0.443747668,1.933471984,3266,179.9,5.5,4.22,103.4
AR,5/1/2022,0.580285413,0.716823157,3295,181.6,5.5,4.53,102.4
AR,6/1/2022,0.626610719,0.151166788,3370,184.4,5.5,4.87,101.8
AR,7/1/2022,0.536398281,6.739112944,3354,187.1,5.5,5.27,102.1
AR,8/1/2022,0.599790805,9.903862799,3300,180.6,5.5,5.68,100.6
AR,9/1/2022,0.587599935,3.53291413,3439,180.4,5.5,6.21,101.9
AR,10/1/2022,0.558341847,1.245906915,3469,182.1,5.7,6.73,102.4
AG,4/1/2020,0.119312479,0.24564334,2850,133.7,6.4,5.68,59.9
AG,5/1/2020,0.166686552,0.210551434,2917,134.2,6.7,5.75,67.1
AG,6/1/2020,0.164931957,0.935199287,2966,135.8,6.9,5.79,79.1
AG,7/1/2020,0.173704933,4.265421138,3164,135.8,6.5,5.78,85.2
AG,8/1/2020,0.180723314,3.145989346,3035,136.4,6.3,5.78,90.1
AG,9/1/2020,0.205287648,0.905371167,3035,136.8,6.1,5.65,92.7
AG,10/1/2020,0.473740727,2.454678804,3125,136.4,6.1,5.41,92
AG,11/1/2020,0.314072556,12.10495287,3212,140,6.2,5.27,89
AG,12/1/2020,0.384256367,8.315027056,3136,140,6.3,5.36,90.7
AG,1/1/2021,0.268453079,2.916137364,3352,135.7,5.9,5.26,93.7
AG,2/1/2021,0.547433729,1.605454686,3173,137.9,5.9,5.28,94.4
AG,3/1/2021,0.487777489,4.690033197,3033,142.2,6,5.29,94.7
AG,4/1/2021,0.507078037,4.660205077,3067,146.3,5.5,5.11,95.8
AG,5/1/2021,0.361446629,1.468596254,3255,150.1,5.3,4.73,101
AG,6/1/2021,0.493041275,0.250907126,3147,153.3,5.1,4.6,101.4
AG,7/1/2021,0.473740727,0.078956788,3182,155.6,5.3,4.58,103
AG,8/1/2021,0.438648821,0.387765558,3309,157.2,5.5,4.36,102.5
AG,9/1/2021,0.43163044,3.526736523,3153,158.3,5.3,4.21,101.3
AG,10/1/2021,0.322845532,20.29540366,3055,161.2,5.7,4.17,101.2
AG,11/1/2021,0.259680102,7.890414997,3194,167.5,5.7,4.12,100.3
AG,12/1/2021,0.361446629,1.572117375,3462,165.2,6,4.12,103.2
AG,1/1/2022,0.284244436,13.3594885,3342,164.3,6,4.1,102.3
AG,2/1/2022,0.329863914,31.02299923,3277,168.5,5.8,4.15,102
AG,3/1/2022,0.403556916,2.733659454,3350,177.6,5.6,4.16,102.6
AG,4/1/2022,0.282489841,0.684292161,3541,179.9,5.5,4.22,103.4
AG,5/1/2022,0.282489841,0.391274749,3420,181.6,5.5,4.53,102.4
AG,6/1/2022,0.201778458,0.103521122,3544,184.4,5.5,4.87,101.8
AG,7/1/2022,0.242134149,4.393506594,3715,187.1,5.5,5.27,102.1
AG,8/1/2022,0.291262817,5.274313427,3475,180.6,5.5,5.68,100.6
AG,9/1/2022,0.326354723,1.637037401,3523,180.4,5.5,6.21,101.9
AG,10/1/2022,0.24915253,0.61761754,3545,182.1,5.7,6.73,102.4
BC,4/1/2020,0.061524443,0.375797947,2748,133.7,6.4,5.68,59.9
BC,5/1/2020,0.061524443,0.465590377,2893,134.2,6.7,5.75,67.1
BC,6/1/2020,0.074827025,0.212841315,2943,135.8,6.9,5.79,79.1
BC,7/1/2020,0.244434948,1.21053498,3085,135.8,6.5,5.78,85.2
BC,8/1/2020,0.17958486,2.291369784,2993,136.4,6.3,5.78,90.1
BC,9/1/2020,0.199538733,2.841764122,2993,136.8,6.1,5.65,92.7
BC,10/1/2020,0.696722743,6.245562342,3003,136.4,6.1,5.41,92
BC,11/1/2020,0.547068693,8.069678926,2990,140,6.2,5.27,89
BC,12/1/2020,0.596953376,5.389208613,3092,140,6.3,5.36,90.7
BC,1/1/2021,0.379123593,3.980797723,3286,135.7,5.9,5.26,93.7
BC,2/1/2021,0.369146656,2.741994755,3056,137.9,5.9,5.28,94.4
BC,3/1/2021,0.502172478,4.921955413,2989,142.2,6,5.29,94.7
BC,4/1/2021,0.493858364,3.874377065,3162,146.3,5.5,5.11,95.8
BC,5/1/2021,0.468916022,0.643512414,3176,150.1,5.3,4.73,101
BC,6/1/2021,0.415705694,0.109746303,3185,153.3,5.1,4.6,101.4
BC,7/1/2021,0.640186768,0.08979243,3202,155.6,5.3,4.58,103
BC,8/1/2021,0.768224122,0.809794691,3251,157.2,5.5,4.36,102.5
BC,9/1/2021,0.705036856,4.99179397,3346,158.3,5.3,4.21,101.3
BC,10/1/2021,0.711688148,13.75320717,3266,161.2,5.7,4.17,101.2
BC,11/1/2021,0.52711482,4.976828565,3403,167.5,5.7,4.12,100.3
BC,12/1/2021,0.739956135,1.019310361,3545,165.2,6,4.12,103.2
BC,1/1/2022,0.390763352,17.69575997,3265,164.3,6,4.1,102.3
BC,2/1/2022,0.520463528,11.47680279,3263,168.5,5.8,4.15,102
BC,3/1/2022,0.552057161,2.096819519,3419,177.6,5.6,4.16,102.6
BC,4/1/2022,0.410717225,0.84471397,3403,179.9,5.5,4.22,103.4
BC,5/1/2022,0.51547506,0.460601909,3533,181.6,5.5,4.53,102.4
BC,6/1/2022,0.415705694,0.071501379,3582,184.4,5.5,4.87,101.8
BC,7/1/2022,0.525451997,4.002414419,3585,187.1,5.5,5.27,102.1
BC,8/1/2022,0.65348935,6.65794239,3634,180.6,5.5,5.68,100.6
BC,9/1/2022,0.52711482,2.153355493,3652,180.4,5.5,6.21,101.9
BC,10/1/2022,0.405728757,0.601941844,3556,182.1,5.7,6.73,102.4
BH,4/1/2020,0.141484536,0.827140362,4316,133.7,6.4,5.68,59.9
BH,5/1/2020,0.121531588,0.275713454,4147,134.2,6.7,5.75,67.1
BH,6/1/2020,0.1686931,0.114275971,4239,135.8,6.9,5.79,79.1
BH,7/1/2020,0.270271741,0.451662171,5187,135.8,6.5,5.78,85.2
BH,8/1/2020,0.159623579,2.595697056,5349,136.4,6.3,5.78,90.1
BH,9/1/2020,0.203157282,2.256496952,2629,136.8,6.1,5.65,92.7
BH,10/1/2020,0.596774515,5.372784543,2666,136.4,6.1,5.41,92
BH,11/1/2020,0.495195874,13.6206074,2682,140,6.2,5.27,89
BH,12/1/2020,0.594960611,6.571775286,2744,140,6.3,5.36,90.7
BH,1/1/2021,0.370036478,4.335231282,2781,135.7,5.9,5.26,93.7
BH,2/1/2021,0.484312449,2.296402846,2738,137.9,5.9,5.28,94.4
BH,3/1/2021,0.75458419,6.479266167,2789,142.2,6,5.29,94.7
BH,4/1/2021,0.678400209,6.230761277,2850,146.3,5.5,5.11,95.8
BH,5/1/2021,0.645749932,1.523679614,2823,150.1,5.3,4.73,101
BH,6/1/2021,0.645749932,0.1686931,2890,153.3,5.1,4.6,101.4
BH,7/1/2021,0.549613004,0.036278086,2880,155.6,5.3,4.58,103
BH,8/1/2021,0.658447262,0.28659688,2898,157.2,5.5,4.36,102.5
BH,9/1/2021,0.761839807,4.32616176,2826,158.3,5.3,4.21,101.3
BH,10/1/2021,0.716492199,21.77592115,2894,161.2,5.7,4.17,101.2
BH,11/1/2021,0.642122123,10.70203538,2954,167.5,5.7,4.12,100.3
BH,12/1/2021,0.758211998,2.370772923,3014,165.2,6,4.12,103.2
BH,1/1/2022,0.408128468,27.63301814,3030,164.3,6,4.1,102.3
BH,2/1/2022,0.551426908,21.91740568,3105,168.5,5.8,4.15,102
BH,3/1/2022,0.798117893,3.76929314,3167,177.6,5.6,4.16,102.6
BH,4/1/2022,0.558682525,1.487401528,3132,179.9,5.5,4.22,103.4
BH,5/1/2022,0.526032248,0.750956381,3183,181.6,5.5,4.53,102.4
BH,6/1/2022,0.526032248,0.1686931,3184,184.4,5.5,4.87,101.8
BH,7/1/2022,0.487940257,6.092904551,3180,187.1,5.5,5.27,102.1
